time_s,C1(mol/m^3),C2(mol/m^3),J1(mol/s),J2(mol/s),J_left_2D(mol/(m s)),J_right_2D(mol/(m s)),J_left_total(mol/s),J_right_total(mol/s),Int_C_domain(mol),balance(mol),target(mol),residual(mol),relative_residual
30930.0,0.019952351783802922,4.0869264685409323e-05,-3.484140232848056e-13,3.484140232846515e-13,-6.968280465696111e-11,6.96828046569303e-11,-3.484140232848056e-13,3.484140232846515e-13,4.998305262121648e-09,5.003303567384205e-06,5e-06,3.3035673842043563e-09,0.0006607134768408712
30960.0,0.01995230997429571,4.0911074192622154e-05,-3.4841256010709896e-13,3.4841256010695103e-13,-6.968251202141979e-11,6.968251202139021e-11,-3.4841256010709896e-13,3.4841256010695103e-13,4.998305262121667e-09,5.003303567384206e-06,5e-06,3.3035673842052033e-09,0.0006607134768410407
30990.0,0.01995226816496408,4.09528835242544e-05,-3.4841109693554247e-13,3.4841109693539525e-13,-6.968221938710849e-11,6.968221938707905e-11,-3.4841109693554247e-13,3.4841109693539525e-13,4.998305262121682e-09,5.003303567384206e-06,5e-06,3.3035673842052033e-09,0.0006607134768410407
31020.0,0.019952226355808025,4.09946926803068e-05,-3.4840963377012717e-13,3.484096337699839e-13,-6.968192675402543e-11,6.968192675399678e-11,-3.4840963377012717e-13,3.484096337699839e-13,4.9983052621216826e-09,5.003303567384206e-06,5e-06,3.3035673842052033e-09,0.0006607134768410407
31050.0,0.01995218454682755,4.103650166078009e-05,-3.484081706108586e-13,3.484081706107172e-13,-6.968163412217172e-11,6.968163412214344e-11,-3.484081706108586e-13,3.484081706107172e-13,4.998305262121682e-09,5.003303567384205e-06,5e-06,3.3035673842043563e-09,0.0006607134768408712
31080.0,0.019952142738022656,4.1078310465674994e-05,-3.484067074577322e-13,3.4840670745759513e-13,-6.968134149154643e-11,6.968134149151902e-11,-3.484067074577322e-13,3.4840670745759513e-13,4.998305262121702e-09,5.003303567384205e-06,5e-06,3.3035673842043563e-09,0.0006607134768408712
31110.0,0.019952100929393344,4.112011909499226e-05,-3.4840524431075263e-13,3.484052443106174e-13,-6.968104886215052e-11,6.968104886212347e-11,-3.4840524431075263e-13,3.484052443106174e-13,4.998305262121708e-09,5.003303567384206e-06,5e-06,3.3035673842052033e-09,0.0006607134768410407
31140.0,0.019952059120939603,4.116192754873264e-05,-3.4840378116991855e-13,3.484037811697844e-13,-6.968075623398371e-11,6.968075623395688e-11,-3.4840378116991855e-13,3.484037811697844e-13,4.9983052621217214e-09,5.0033035673842065e-06,5e-06,3.3035673842060504e-09,0.00066071347684121
31170.0,0.01995201731266144,4.1203735826896855e-05,-3.48402318035225e-13,3.484023180350957e-13,-6.9680463607045e-11,6.968046360701914e-11,-3.48402318035225e-13,3.484023180350957e-13,4.99830526212172e-09,5.0033035673842065e-06,5e-06,3.3035673842060504e-09,0.00066071347684121
31200.0,0.01995197550455885,4.124554392948564e-05,-3.484008549066795e-13,3.484008549065514e-13,-6.96801709813359e-11,6.968017098131028e-11,-3.484008549066795e-13,3.484008549065514e-13,4.9983052621217305e-09,5.0033035673842065e-06,5e-06,3.3035673842060504e-09,0.00066071347684121
31230.0,0.019951933696631837,4.1287351856499746e-05,-3.483993917842749e-13,3.4839939178415157e-13,-6.967987835685498e-11,6.967987835683032e-11,-3.483993917842749e-13,3.4839939178415157e-13,4.998305262121747e-09,5.0033035673842065e-06,5e-06,3.3035673842060504e-09,0.00066071347684121
31260.0,0.0199518918888804,4.13291596079399e-05,-3.4839792866801643e-13,3.4839792866789627e-13,-6.967958573360328e-11,6.967958573357926e-11,-3.4839792866801643e-13,3.4839792866789627e-13,4.998305262121748e-09,5.003303567384207e-06,5e-06,3.3035673842068974e-09,0.0006607134768413795
